brand,perfume,notes
astrophil-stella,the-iris-way,elemi resin lemon leaf iris myrhh musk vanilla amber
montana,suggestion-eau-d-argent-1994,green notes bergamot violet brazilian rosewood mandarin orange peach lily cyclamen orchid lily-of-the-valley jasmine rose musk sandalwood amber
afnan,patchouli-on-fire,spicy notes aromatic notes woody notes patchouli lavender citruses patchouli exotic spices
adopt-parfums,verveine-fizz,lemon lemon verbena vetiver
al-haramain-perfumes,mukhamria-maliki,saffron musk jasmine vetiver patchouli rose vanilla agarwood (oud) amber lily sandalwood violet
al-haramain-perfumes,solitaire,cumin bergamot lemon leather sandalwood cedar tobacco patchouli
al-haramain-perfumes,l-aventure-rose,rose citruses red berries rose jasmine musk amber
armaf,bois-luxura,green notes lavender basil sage violet iris mimosa cedar vetiver amber patchouli
armaf,shades-wood,rose geranium citruses cloves cumin pepper agarwood (oud) sandalwood cedar
avon,true-force,lavender tangerine sage coriander nutmeg suede oak patchouli musk amber
avon,15,bergamot galbanum lavender jasmine basil geranium celery musk vetiver sandalwood cedar moss
avon,015-london,ozonic notes bergamot petitgrain walnut pine tree lavender cedar musk moss amber
avon,christian-lacroix-nuit,neroli honeysuckle bergamot jasmine tuberose narcissus incense woodsy notes amber musk
avon,far-away-exotic,mango spices mandarin orange coconut jasmine rose sandalwood amber musk patchouli
avon,imari-corset,black currant bergamot apple liquor raspberry rose plumeria cacao pod cacao butter leather sandalwood
avon,imari-queen,blackberry rose anise musk
avon,mesmerize-for-women,mandarin orange bergamot apple myrrh exotic spices amber woodsy notes
avon,scent-essence-wild-bergamot,bergamot tea woodsy notes
avon,soft-musk-delice-fleur-de-chocolate,mandarin orange chocolate chocolate flower vanilla
avon,today-tomorrow-always-amour,green notes citruses pink pepper jasmine white magnolia lily-of-the-valley musk cedar sandalwood
avon,treselle-seduction,plum blackberry blueberry cranberry raspberry patchouli orchid vanilla amber musk
azzaro,solarissimo-levanzo,italian lemon passionfruit peppermint tea basil lavender ginger cardamom geranium patchouli leaf cedar amberwood coumarin
azzaro,wanted-girl,orange blossom ginger flower pink pepper pomegranate dulce de leche datura tonka bean patchouli haitian vetiver
bath-body-works,carried-away,raspberry pear amalfi lemon bergamot mandarin orange freesia jasmine tuberose violet vanille sandalwood musk
bath-body-works,french-lavender-honey,melon blackberry mandarin orange violet leaf lavender nectarine lily-of-the-valley jasmine honey musk oak
bath-body-works,magic-in-the-air,persimmon white iris pear blossom water lily almond blossom coconut nectar jasmine bourbon vanilla musk sandalwood
bath-body-works,sparkling-peach,peach nectarine pomegranate black currant apricot peach green notes lily-of-the-valley jasmine plum sandalwood amber musk
bath-body-works,white-citrus-eau-de-toilette,amalfi lemon grapefruit tangerine mandarin orange water lily freesia lily-of-the-valley apricot woodsy notes musk
bath-body-works,whitewater-rush,water notes red apple bergamot violet leaf lavender geranium blue sage sandalwood vetiver white cedar extract
bath-body-works,cocktail-dress,pomegranate mandarin orange osmanthus peony pear lily-of-the-valley cedar musk amberwood
bond-no-9,liberty-island,mandarin orange bergamot black currant orange blossom jasmine marshamallow musk
byredo,young-rose,sichuan pepper ambrette (musk mallow) damask rose iris ambroxan musk
cacharel,promesse,blackberry mandarin orange bergamot orchid jasmine violet musk cedar sandalwood amber
calvin-klein,eternity-aqua-for-men,cucumber citruses green notes lotus plum lavender sichuan pepper virginia cedar musk sandalwood patchouli guaiac wood
calvin-klein,eternity-for-men-summer-2013,tarragon seaweed driftwood
calvin-klein,reveal-men,melon brandy pear mastic or lentisque ginger agave salt suede clary sage tonka bean amber vetiver
carolina-herrera,212-heroes-forever-young,raspberry mandarin orange jasmine orange blossom cedar sandalwood
carolina-herrera,bad-boy-cobalt-elixir,black pepper sage truffle woodsy notes vanila frankincense
chopard,bois-nomades,clove cinnamon tobacco black pepper damask rose myrrh agarwood (oud) cypriol oil or nagarmotha atlas cedar olibanum opoponax styrax
chopard,enchanted,plum jasmine patchouli spices cashmere wood musk
chopard,love-chopard,damask rose rose taif rose cinnamon pink pepper violet mandarin orange bulgarian rose rose moroccan rose jasmine sambac orange blossom turkish rose patchouli honey sandalwood cacao vanilla cedar tonka bean brown sugar
clean,ultimate-beach-day,lime bergamot mandarin orange lemon sea notes jasmine neroli tuberose angelica white rose orange blossom lavender sand amber musk
clean,fresh-laundry-lavender-eau-fraiche,fruity notes pineapple lavender green grass orchid night blooming jasmine star anise musk tonka bean amber precious woods patchouli
commodity,rain,lemon verbena bergamot lotus freesia jasmine musk vetiver woody notes
commodity,wool,grapefruit apple mandarin orange lavender cedar basil artemisia gray musk bourbon vanilla amber haitian vetiver
dior,dior-addict-eau-delice,cranberry cherry orange bergamot bitter almond ylang-ylang egyptian jasmine indian jasmine rose white musk vanilla cedar
dior,dior-addict-eau-fraiche-2012,grapefruit bergamot lotus pomegranate freesia musk woodsy notes
diptyque,vetyverio-eau-de-toilette,grapefruit amalfi lemon bergamot mandarin orange geranium rose ylang-ylang carrot seeds nutmeg clove vetyver musk virginia cedar
diptyque,eau-mage-eau-de-parfum,mandarin orange spicy notes rose amber woody notes musk
dolce-gabbana,light-blue-living-stromboli,pink pepper citruses water notes geranium vetiver amber patchouli
dolce-gabbana,light-blue-pour-homme,grapefruit bergamot sicilian mandarin juniper pepper rosemary brazilian rosewood musk incense oakmoss
elizabeth-arden,5th-avenue-nyc-premiere,mandarin orange lily-of-the-valley black pepper wild orchid jasmine hyacinth tonka bean benzoin amber sandalowood musk patchouli
elizabeth-arden,white-tea-wild-rose,white tea red currant pear blossom palmarosa bulgarian rose turkish rose peony clary sage musk mate amber tonka bean
escada,escada,hiacynth coconut asafoetida peach mandarin orange bergamot carnation tuberose jasmine ylang-ylang narcissus orange blossom frangipani iris vanilla sandalwood heliotrope cedar oakmoss musk
escada,escada-2005,cucumber green leaves cassia bergamot black currant lemon nectarine lily-of-the-valley jasmine peony freesia magnolia orange blossom rose musk iris patchouli tangerine sandalwood amber vanilla
escada,escada-sentiment,iris black currant red currant magnolia green mandarin white peach hiacynth tuberose orris root heliotrope vanilla amber brazilian rosewood sandalwood
estee-lauder,youth-dew-amber-nude,cinnamon ginger tea magnolia grapefruit carnation ylang-ylang black rose jasmine amber sandalwood patchouli vetiver
ex-nihilo,sweet-morphine,lilac bergamot mimosa absolute iris rose heliotrope bourbon vanilla orris vetiver patchouli
giorgio-armani,rose-milano,pear bergamot lemon rose jasmine moss patchouli
acqua-di-parma,rosa-nobile,mandarin orange pepper bergamot rose peony violet lily-of-the-valley musk cedar ambergris
acqua-di-parma,sandalo-eau-de-parfum,calabrian bergamot orange lemon petitgrain lavender cardamom sandalwood tonka bean amber
amouage,opus-v-woods-symphony,orris root rum orris root rose jasmine agarwood (oud) dry wood civet
givenchy,eau-de-givenchy-rosee,osmanthus mandarin orange rose water hyacinth jasmine sambac white musk patchouli
givenchy,mmw,guatemalan cardamom palo santo ambroxan atlas cedar virginia cedar iso e super haitian vetiver
gucci,flora-gorgeous-gardenia-limited-edition-2020,pear red berries gardenia frangipani brown sugar patchouli
gucci,gucci-bloom-ambrosia-di-fiori,jasmine honeysuckle tuberose damask rose orris
gucci,gucci-guilty-platinum,pink pepper geranium lilac peach patchouli amber
gucci,gucci-rush-2,freesia lily-of-the-valley rose palm tree narcissus lily gardenia black currant musk oakmoss
guerlain,love-is-all,passionfruit mandarin orange pink pepper mimosa iris freesia orange blossom neroli musk vanilla nutmeg woodsy notes amber
guerlain,neroli-plein-sud,ginger turmeric cinnamon neroli tunisian orange blossom vetiver sandalwood
guerlain,la-petite-robe-noire-hair-mist,black currant sour cherry rose jasmine green notes orange blossom white musk white amber
guerlain,chamade-eau-de-toilette,galbanum hyacinth ylang-ylang cassis jasmine vanilla sandalwood
hugo-boss,boss-bottled-marine,frosted apple mint cinnamon clary sage cashmere wood patchouli
hugo-boss,boss-the-scent-elixir-for-her,pink pepper belladonna ambergris
jean-paul-gaultier,classique,orange blossom star anise rose mandarin orange pear bergamot ylang-ylang ginger orchid iris tuberose plum vanilla amber musk cinnamon sandalwood
jean-paul-gaultier,classique-summer-2010,amalfi lemon clementine african orange flower ylang-ylang iris lily-of-the-valley woodsy notes jasmine vanille musk amber
jimmy-choo,jimmy-choo-blossom-special-edition-2018,exotic fruits frangipani sandalwood white musk
jo-malone-london,english-oak-redcurrant,red currant rose oak
jo-malone-london,osmanthus-cologne,petitgrain peach osmanthus orange blossom cashmere wood
jo-malone-london,rose-blush-cologne,basil rose cedar
jo-malone-london,tangy-rhubarb-cologne,rhubarb orange cedar
jo-malone-london,rose-water-vanilla-cologne-2023,rose water neroli petitgrain loukhoum turkish rose cacao pod vanilla
jo-malone-london,carrot-blossom-fennel,wormwood fennel carrot apricot rose neroli violet root white musk patchouli
juicy-couture,frosty-couture-shimmering-eau-de-parfum,marigold watermelon passionfruit green apple mandarin orange tuberose water hyacinth lily rose hip vanilla caramel patchouli precious woods
kenzo,ca-sent-beau,mandarin orange patchouli bergamot tuberose coriander african orange flower ylang-ylang gardenia jasmine peach vetiver amber vanilla
kenzo,kenzo-jungle-l-elephant,cloves cumin mandarin orange cardamom caraway licorice mango ylang-ylang heliotrope gardenia vanilla amber patchouli
kenzo,kenzo-world-fantasy-collection-eau-de-toilette,bergamot pear almond blossom peony rose violet iso e super sandalwood orris musk vanilla
kenzo,l-eau-kenzo-boisee,lemon ginger woody notes
kenzo,l-eau-kenzo-pour-homme-hyper-wave,mandarin orange sea notes moss
l-artisan-parfumeur,al-oudh,caraway dates dried fruits cardamom pink pepper orange blossom agarwood (oud) leather incense saffron rose iris neroli civetta myrrh sandalwood patchouli musk tonka bean virginia cedar vanilla
lancome,balafre-brun,chamomile lavender bergamot lemon pine needles tobacco cloves leather neroli oakmoss cedar vetiver sandalwood amber
lancome,la-vie-est-belle-flowers-of-happiness,pear citruses bergamot peony rose jasmine lily-of-the-valley musk sandalwood
lancome,la-vie-est-belle-iris-absolu,black currant fig orange blossom orange blossom jasmine iris gourmand accord patchouli
lancome,o-d-azur,amalfi lemon bergamot peony rose pink pepper musk woodsy notes ambrette (musk mallow)
lancome,tresor-sheer-eau-de-printemps,red currant black currant clementine peach blossom camellia lily-of-the-valley vanilla sandalwood musk
lattafa-perfumes,ajayeb-dubai,pineapple saffron coffee violet leaves butterscotch vanilla sandalwood
les-parfums-de-rosine,diabolo-rose,rose mint bergamot rose peony tomato leaf lily-of-the-valley mate musk sandalwood amber
les-parfums-de-rosine,ecume-de-rose,water lily cassis rose artemisia vetiver musk amber
loewe,esencia-loewe-sport,bergamot mandarin orange geranium pepper musk amber
lolita-lempicka,lolita-lempicka-le-parfum-2023,cherry anise violet licorice iris tonka bean praline musk patchouli vanilla
louis-vuitton,lvers,galbanum bergamot ginger solar notes sandalwood cedarwood
lush,himalaya,pepperwood or hercules club nard himalayan (jatamansi) ylang-ylang
m-micallef,black,plum bitter orange amalfi lemon tuberose ylang-ylang jasmine neroli powdery notes vanilla benzoin white musk
maison-alhambra,anarch,bergamot grass ylang-ylang jasmine peach lily heliotrope violet leaves pear blossom damask rose ebony wood vanilla amber cashmere wood sugar coconut tonka bean
maison-alhambra,bright-peach,peach green leaves blood orange patchouli honey cognac
mancera,fig-extasy,fig nectar incense ginger black pepper fig leaf leather sandalwood cedar lavender thyme vanilla pod siam benzoin styrax tonka bean
mancera,black-vanilla,black currant white peach coconut calabrian bergamot violet egyptian jasmine bulgarian rose madagascar vanilla white musk
memo-paris,tamarindo,bergamot mandarin orange cardamom orange pineapple jasmine tuberose coconut peach ylang-ylang patchouli vanilla benzoin
montale,intense-pepper,black pepper sicilian lemon pink pepper floral notes cedar agarwood (oud) white musk oakmoss amber
montale,rendez-vous-a-paris,pear rhubarb rose petals patchouli white flowers ginger musk sugar vanilla powdery notes ambergris
moschino,cheap-chic-i-love-love,grapefruit orange lemon red currant sugar cane bulrush lily-of-the-valley tea rose cinnamon musk cedar thanaka wood
mugler,angel-nova-eau-de-toilette,litchi bergamot rose magnolia virginia cedar musk
natura,biografia-verao,green notes spices geranium woody notes
natura,faces-intensa,red berries pineapple peach apricot gardenia caramel vanille musk
natura,humor-perfeito,blackberry blueberry raspberry pink pepper tangerine bergamot violet peony orchid honey jasmine sambac praline musk tonka bean vanilla sandalwood
natura,agua-de-banho-priprioca,bergamot galbanum orange lily-of-the-valley elemi vetiver musk sandalwood
natura,sr-n-cedro,citruses cardamom cinnamon bergamot black pepper nutmeg cedar patchouli tonka bean
